long,lat,storeName
-73.951172,40.7773139,Tokubei 86
-73.9491317,40.7445755,Manducatis
-73.792701,40.7702099,Divers Cove
-73.8522308,40.7109144,Sizzler
-73.9612388,40.635193,Mama Lucia
-73.9862154,40.7350907,Mariella Pizza
-73.9832993,40.7675444,Coliseum Bar Restaurant
-73.7901466,40.769692,Vinny'S Pizza
-73.9633849,40.625169,Kosher Delight
-73.9928342,40.7588583,West Bank Cafe
-73.972235,40.758066,The Four Seasons
-73.734425,40.7723579,La Baraka Restaurant
-73.984858,40.631394,Dairy Luncheonette
-73.9828058,40.7150766,Zafi'S Luncheonette
-73.9788552,40.6109657,La Palina Restaurant
-74.1321,40.61266,Schaffer'S Tavern
-74.00529,40.733029,Ty'S
-73.7363139,40.767005,Aunt Bella'S Rest Of Little Neck
-73.9321411,40.6094715,Mariner Inn
-74.1235473,40.6215341,Exclusive Catering
-73.78421,40.7577566,North Shore Diner
-74.028273,40.6295196,Green House Cafe
-73.8233981,40.8276846,Mcdonald'S
-73.958372,40.7420277,Water Front Crab House
-74.0060152,40.7372653,La Ripaille Restaurant
-74.1408495,40.5441055,Marina Cafe
-73.958885,40.7745559,Don Filippo Restaurant
-73.8664386,40.7319364,Burger King
-73.9245566,40.7441786,Dazies Restaurant
-73.8931074,40.7545576,Triestes Restaurant
-73.924072,40.761089,Omonia Cafe
-73.9782725,40.7624022,Murals On 54/Randolphs'S
-73.931262,40.598023,Veterans Of Foreign Wars Post #107 Canteen
-73.990556,40.749722,Caruso Pizza #2
-73.933605,40.669476,Tropical House Baking Co.
-73.780574,40.6679415,Burger King
-73.8128627,40.7931101,Clinton Restaurant
-73.958529,40.766908,Shabu-Shabu 70 Restaurant
-73.87575,40.8294396,Yankee Jz Pizza
-74.0986428,40.5942955,Chen'S Chinese
-73.993539,40.7474898,The Greek Corner
-73.9732838,40.7588047,Racquet & Tennis Club
-74.031688,40.6374532,Casa Pepe
-73.9783103,40.7632329,Astro Restaurant
-74.1690735,40.5589805,Golden Dove Diner
-74.0018619,40.7288849,Caffe Dante
-73.9777137,40.6433389,Korner Pizzeria
-73.992182,40.699702,Henry'S End
-74.0062401,40.7397546,Souen Restaurant
-73.9805395,40.7469315,Villa Berulia
-73.9840766,40.7628868,Victor'S Cafe
-74.0282415,40.6309663,Petes Pizzeria & Restaurant
-73.9864634,40.7507174,Keens Steakhouse
-73.977526,40.745973,Bar 515
-73.8924962,40.7485672,Ready Penny Inn
-73.999148,40.729735,Il Mulino
-73.9651212,40.7603438,Felidia Restaurant
-73.9216671,40.6447189,Mcdonald'S
-73.9993545,40.7286288,The Malt House
-73.9812519,40.7728753,Shun Lee
-73.9040116,40.8803571,Ihop
-74.0318242,40.6206224,Bridgeview Diner
-73.894071,40.726984,Burke'S Pub
-73.884337,40.733269,Hill Tap Tavern
-73.9865289,40.7606981,Pongsri Thai Restaurant
-73.967288,40.757018,Primavera Pizza & Pasta
-73.7830935,40.8374725,Tony'S Pier Restaurant
-73.952858,40.776842,Elio'S
-73.832183,40.847101,Quality Cafe & Restaurant
-73.9254891,40.5928448,Victoria Pizza
-73.9949622,40.7496446,Molly Wee Pub
-73.968647,40.755183,La Mediterranee Restaurant
-73.995662,40.748717,Kasteli Ii
-73.9153514,40.6087346,El Caribe
-74.0019729,40.7260047,Omen Japanese Cuisine
-73.8122829,40.727543,Mcdonald'S
-73.9917897,40.6913932,Mcdonald'S
-73.96608,40.7602774,Bar Vetro
-73.982506,40.762621,Rosie O'Grady Restaurant
-73.807086,40.6988,Europa Go-Go Dancing
-73.9982079,40.7180815,Casa Bella
-74.0095812,40.7146375,Raccoon Lodge
-73.9883256,40.7634489,Chez Napolean
-73.9550857,40.7206387,Turkey'S Nest Tavern
-73.8507489,40.832069,Sabrosura Restaurant
-73.8520417,40.6666793,La Villa De Pizza & Restaurant
-73.8426307,40.6808917,Ozone Pizzeria
-73.913591,40.756706,Ponticello Restaurant
-73.9664345,40.7641697,Agra Restaurant
-73.9813814,40.7630615,Lindy'S
-73.947847,40.775478,Arturo'S
-73.9500845,40.8064061,Paris Blues
-73.9977952,40.7353195,Gene'S Resturant
-73.9367236,40.5842786,Maria Ristorante
-73.993406,40.730003,Cozy Soup & Burger
-73.7487894,40.7271425,Neron'S Pizza
-73.9977997,40.6118897,Villa Fiorita
-74.0065917,40.609992,Vegas Diner
-73.840374,40.683319,Moms Luncheonette
-73.9801846,40.7801316,Candle Bar
-73.9558969,40.778154,Tevere 84
-73.990556,40.749722,Haagen-Dazs
-73.782866,40.757529,Fontana Famous Pizza & Gyro
-92.730844,41.7461462,Charlie'S Mom Chinese Restaurant
-73.955387,40.772368,Lusardi'S Restaurant
-74.1069208,40.6302784,King'S Arms Restaurant
-73.8397963,40.7191179,Portofino
-74.0006426,40.7309096,Blue Note Jazz
-73.9724015,40.7403386,The Water Club
-73.9957111,40.6821943,Marco Polo Ristorante
-74.0023353,40.7333573,Manhattan Monster
-73.9791124,40.7834791,American Museum Of Natural History Food Court
-84.1899005,39.7642657,War Memorial Ice Skating Rink
-74.001763,40.7282465,Chez Jaqueline
-73.9946329,40.690043,Tripoli Restaurant
-73.9612178,40.7684788,Pj Bernstein Deli & Restaurant
-73.980002,40.7659216,Pj Carney'S
-74.0001023,40.7276736,Tomoe Sushi
-74.3731727,40.4404759,Water'S Edge Club
-73.9592644,40.8088612,Amsterdam Restaurant & Tapas Lounge
-73.7906439,40.8575687,Jp'S Waterside Restaurant
-73.8373255,40.5798483,Rogers Irish Tavern
-73.8657838,40.8544744,John & Joe Pizzeria & Restaurant
-73.8803351,40.7017284,Mcdonald'S
-73.9811382,40.7788729,Utopia Restaurant
-74.2078085,40.5427718,Sunset Pizzeria
-73.8047246,40.7328495,Napoli Pizza
-73.9774801,40.7461444,Jackson Hole
-74.027017,40.632575,Vesuvio Restaurant & Pizza
-73.7416329,40.6767449,Western Bakery
-73.971606,40.751148,Johns Cafe & Resturant
-74.0014102,40.7318195,Karavas Place
-73.983169,40.7774031,Cafe Luxembourg
-73.9070012,40.7090773,Windjammers Bar
-73.8153553,40.7394901,Dunkin' Donuts/Baskin' Robbins
-73.9689746,40.7979687,Broadway Restaurant
-73.941001,40.798046,Cuchifrito
-73.8454959,40.7207511,Narita Japanese Restaurant
-73.9940325,40.681185,Red Rose
-74.0014196,40.7408836,Mary Ann'S
-73.8968765,40.8166811,Tony'S Pizza
-73.8493844,40.688197,Port O' Calls
-73.9725664,40.5972755,Fiorentino Ristorante
-73.9932049,40.7321769,Il Cantinori Restauraunt
